log_id,system_name,regulation,severity,event_type,timestamp,resolved
48,System_4,CMMC,High,Policy Breach,2025-03-11 03:32:56,No
49,System_3,NIST,High,Data Leak,2025-03-14 17:17:09,Yes
50,System_5,GDPR,High,Policy Breach,2025-04-05 01:27:01,No
51,System_2,CMMC,Medium,Policy Breach,2025-01-23 21:57:57,No
52,System_3,CMMC,Low,Access Violation,2025-05-08 21:36:56,Yes
53,System_2,GDPR,Low,Unauthorized Device,2025-03-10 23:17:32,Yes
54,System_5,NIST,Medium,Data Leak,2025-01-23 23:30:34,Yes
55,System_3,GDPR,Medium,Access Violation,2025-03-17 00:00:19,No
56,System_1,NIST,High,Data Leak,2025-05-08 23:27:31,Yes
57,System_5,NIST,Medium,Policy Breach,2025-05-14 09:39:52,No
58,System_5,CMMC,Medium,Unauthorized Device,2025-05-17 20:34:43,No
59,System_5,NIST,Medium,Unauthorized Device,2025-05-17 06:51:04,No
60,System_5,NIST,Medium,Data Leak,2025-01-03 22:17:59,Yes
61,System_2,GDPR,Low,Policy Breach,2025-05-03 11:15:05,Yes
62,System_3,NIST,Medium,Access Violation,2025-03-12 21:19:44,Yes
63,System_3,NIST,Low,Login Failure,2025-02-22 09:59:45,Yes
64,System_4,GDPR,Low,Data Leak,2025-05-07 13:14:16,Yes
65,System_2,CMMC,High,Data Leak,2025-02-06 10:46:47,Yes
66,System_5,NIST,High,Policy Breach,2025-04-18 04:38:34,Yes
67,System_4,NIST,Medium,Policy Breach,2025-03-10 01:56:25,No
68,System_5,CMMC,High,Policy Breach,2025-05-12 13:09:36,Yes
69,System_2,NIST,Medium,Policy Breach,2025-01-02 15:33:38,No
70,System_3,NIST,Low,Unauthorized Device,2025-04-26 05:05:21,No
71,System_4,NIST,Medium,Data Leak,2025-03-29 19:07:33,Yes
72,System_4,NIST,High,Data Leak,2025-04-11 11:41:33,Yes
73,System_5,CMMC,High,Login Failure,2025-04-17 23:23:26,No
74,System_5,CMMC,High,Access Violation,2025-04-27 02:52:50,Yes
75,System_3,NIST,High,Policy Breach,2025-02-19 09:41:10,Yes
76,System_5,GDPR,High,Login Failure,2025-04-04 16:11:09,No
77,System_2,CMMC,Medium,Access Violation,2025-02-22 12:38:29,No
78,System_1,CMMC,High,Data Leak,2025-02-02 23:14:25,No
79,System_2,GDPR,Medium,Access Violation,2025-01-22 11:08:05,Yes
80,System_2,NIST,High,Data Leak,2025-04-09 07:23:11,Yes
81,System_2,GDPR,High,Access Violation,2025-04-08 13:23:21,No
82,System_1,GDPR,Low,Access Violation,2025-05-16 09:00:17,Yes
83,System_4,GDPR,Low,Policy Breach,2025-01-22 23:02:48,No
84,System_5,GDPR,Medium,Access Violation,2025-04-26 01:31:47,Yes
85,System_3,CMMC,Medium,Data Leak,2025-01-26 09:26:57,Yes
86,System_4,NIST,Low,Policy Breach,2025-02-14 23:17:08,Yes
87,System_4,GDPR,High,Policy Breach,2025-02-12 07:22:57,Yes
88,System_5,GDPR,Low,Access Violation,2025-05-21 12:33:19,Yes
89,System_5,GDPR,High,Access Violation,2025-01-21 05:17:25,No
90,System_1,CMMC,High,Unauthorized Device,2025-04-18 12:52:04,No
91,System_1,CMMC,High,Unauthorized Device,2025-04-07 11:38:51,No
92,System_1,CMMC,High,Data Leak,2025-02-04 20:32:06,Yes
93,System_1,GDPR,High,Unauthorized Device,2025-02-19 18:42:37,No
94,System_1,GDPR,Medium,Data Leak,2025-04-10 04:36:43,No
95,System_5,CMMC,Low,Data Leak,2025-04-30 13:29:32,Yes
96,System_4,CMMC,High,Policy Breach,2025-02-28 04:15:25,No
97,System_4,GDPR,Medium,Access Violation,2025-04-06 02:39:47,Yes
98,System_1,GDPR,High,Unauthorized Device,2025-04-08 13:17:20,No
99,System_4,CMMC,Medium,Data Leak,2025-03-28 19:30:24,Yes
100,System_3,NIST,High,Data Leak,2025-02-13 15:26:53,Yes
101,System_5,GDPR,High,Data Leak,2025-03-22 16:35:20,Yes
102,System_1,GDPR,High,Unauthorized Device,2025-02-12 09:48:59,Yes
103,System_1,NIST,Low,Login Failure,2025-02-04 11:15:47,No
104,System_2,GDPR,Low,Unauthorized Device,2025-04-09 09:51:58,No
105,System_2,CMMC,Medium,Unauthorized Device,2025-03-20 06:06:48,Yes
106,System_2,NIST,Medium,Data Leak,2025-03-10 01:43:57,Yes
107,System_5,CMMC,Medium,Data Leak,2025-03-29 13:20:38,Yes
108,System_3,CMMC,High,Access Violation,2025-04-20 09:20:24,No
109,System_3,GDPR,Low,Unauthorized Device,2025-04-04 23:36:30,Yes
110,System_3,NIST,High,Login Failure,2025-02-05 03:42:08,No
111,System_3,CMMC,Medium,Data Leak,2025-01-19 05:31:55,No
112,System_1,NIST,Medium,Login Failure,2025-02-09 06:48:37,Yes
113,System_3,CMMC,Low,Login Failure,2025-02-26 01:11:23,Yes
114,System_1,GDPR,Low,Login Failure,2025-03-29 07:15:34,Yes
115,System_2,NIST,High,Policy Breach,2025-03-23 11:51:35,No
116,System_4,NIST,Medium,Unauthorized Device,2025-02-21 22:39:58,No
117,System_5,GDPR,Medium,Access Violation,2025-04-24 04:19:25,No
118,System_5,GDPR,Medium,Data Leak,2025-01-09 07:41:57,Yes
119,System_2,GDPR,High,Data Leak,2025-04-29 14:47:15,No
120,System_5,GDPR,Medium,Policy Breach,2025-02-02 02:26:06,No
121,System_3,NIST,High,Unauthorized Device,2025-05-11 03:52:15,No
122,System_1,NIST,Low,Policy Breach,2025-02-08 16:46:12,Yes
123,System_3,NIST,Medium,Access Violation,2025-03-06 02:48:15,No
124,System_4,NIST,Medium,Unauthorized Device,2025-04-02 15:29:19,No
125,System_3,CMMC,High,Login Failure,2025-04-24 19:38:56,No
126,System_4,GDPR,High,Data Leak,2025-01-15 02:04:24,Yes
127,System_4,CMMC,High,Unauthorized Device,2025-03-31 02:05:16,Yes
128,System_4,GDPR,Low,Login Failure,2025-02-19 13:13:15,Yes
129,System_1,CMMC,High,Data Leak,2025-03-04 03:27:49,No
130,System_3,GDPR,Medium,Policy Breach,2025-01-20 07:39:58,No
131,System_4,GDPR,Medium,Login Failure,2025-05-01 02:32:45,No
132,System_1,CMMC,Medium,Data Leak,2025-01-13 01:17:08,Yes
133,System_3,CMMC,Low,Login Failure,2025-03-16 12:00:13,Yes
134,System_5,NIST,Medium,Unauthorized Device,2025-03-31 06:45:50,No
135,System_4,CMMC,Low,Access Violation,2025-04-17 01:05:47,Yes
136,System_3,CMMC,High,Login Failure,2025-03-19 11:30:25,Yes
137,System_2,CMMC,Medium,Unauthorized Device,2025-02-03 00:53:33,No
138,System_3,GDPR,Medium,Unauthorized Device,2025-04-10 08:17:53,Yes
139,System_3,CMMC,Medium,Policy Breach,2025-01-05 07:06:23,No
140,System_2,GDPR,High,Access Violation,2025-05-18 10:38:57,Yes
141,System_1,NIST,Medium,Unauthorized Device,2025-04-16 05:19:10,No
142,System_2,NIST,Low,Access Violation,2025-02-20 05:29:38,No
143,System_2,CMMC,Medium,Login Failure,2025-04-06 17:39:00,Yes
144,System_2,GDPR,Low,Access Violation,2025-04-09 02:37:04,Yes
145,System_1,CMMC,Medium,Policy Breach,2025-05-26 02:41:46,Yes
146,System_4,GDPR,Low,Policy Breach,2025-05-21 04:20:33,No
147,System_1,GDPR,Medium,Unauthorized Device,2025-04-19 07:21:15,No
148,System_1,GDPR,Medium,Access Violation,2025-02-04 00:20:07,Yes
149,System_5,GDPR,Medium,Policy Breach,2025-02-14 14:33:53,No
150,System_4,NIST,High,Data Leak,2025-05-15 04:22:30,No
151,System_1,NIST,High,Login Failure,2025-01-05 14:00:51,No
152,System_4,CMMC,High,Login Failure,2025-05-22 05:13:46,Yes
153,System_4,NIST,Low,Data Leak,2025-05-09 01:25:00,No
154,System_5,NIST,Medium,Policy Breach,2025-03-27 10:08:53,No
155,System_2,CMMC,Medium,Access Violation,2025-02-14 21:48:01,No
156,System_3,NIST,Medium,Access Violation,2025-03-31 00:19:50,Yes
157,System_1,CMMC,Low,Access Violation,2025-01-14 20:19:12,No
158,System_4,GDPR,Low,Policy Breach,2025-01-03 20:07:40,No
159,System_4,NIST,Medium,Policy Breach,2025-02-15 03:10:43,Yes
160,System_1,CMMC,Medium,Login Failure,2025-02-15 21:47:05,No
161,System_3,CMMC,Low,Unauthorized Device,2025-05-08 06:56:43,No
162,System_3,GDPR,High,Data Leak,2025-01-03 03:04:39,Yes
163,System_5,NIST,Medium,Policy Breach,2025-03-14 22:59:07,Yes
164,System_5,NIST,Medium,Access Violation,2025-04-14 22:01:48,Yes
165,System_3,NIST,High,Unauthorized Device,2025-02-16 19:17:50,Yes
166,System_2,CMMC,Medium,Access Violation,2025-03-02 04:08:51,No
167,System_3,CMMC,Medium,Policy Breach,2025-05-18 10:26:23,No
168,System_4,NIST,Medium,Data Leak,2025-01-14 17:17:55,Yes
169,System_1,GDPR,High,Access Violation,2025-01-17 10:21:22,No
170,System_4,CMMC,High,Login Failure,2025-01-30 17:03:20,Yes
171,System_3,NIST,Low,Unauthorized Device,2025-02-04 22:18:59,No
172,System_2,CMMC,Medium,Policy Breach,2025-04-19 23:05:35,Yes
173,System_3,NIST,Low,Data Leak,2025-01-15 06:10:54,No
174,System_2,CMMC,Medium,Access Violation,2025-03-02 13:46:36,No
175,System_5,CMMC,Medium,Data Leak,2025-05-18 08:31:02,No
176,System_4,CMMC,High,Data Leak,2025-05-24 16:42:52,No
177,System_4,NIST,High,Login Failure,2025-04-10 07:32:01,Yes
178,System_1,NIST,Low,Policy Breach,2025-02-27 03:31:11,No
179,System_4,GDPR,Low,Login Failure,2025-03-01 16:41:38,Yes
180,System_5,GDPR,Low,Policy Breach,2025-05-24 19:51:02,No
181,System_3,NIST,Low,Login Failure,2025-04-07 10:29:38,No
182,System_5,NIST,High,Login Failure,2025-04-02 09:51:05,No
183,System_1,NIST,Medium,Data Leak,2025-02-14 16:07:01,No
184,System_3,CMMC,Medium,Unauthorized Device,2025-05-08 12:22:31,No
185,System_5,CMMC,High,Unauthorized Device,2025-03-02 01:59:33,No
186,System_5,CMMC,Medium,Unauthorized Device,2025-04-10 04:44:50,No
187,System_5,CMMC,High,Unauthorized Device,2025-02-21 11:20:29,No
188,System_4,NIST,Medium,Unauthorized Device,2025-03-22 21:48:07,Yes
189,System_3,CMMC,Low,Data Leak,2025-03-08 23:31:50,Yes
190,System_5,NIST,Low,Unauthorized Device,2025-04-28 22:28:20,Yes
191,System_5,CMMC,High,Data Leak,2025-04-06 03:29:56,Yes
192,System_4,GDPR,Low,Policy Breach,2025-01-23 19:07:44,Yes
193,System_5,NIST,Low,Access Violation,2025-03-07 13:07:12,No
194,System_1,CMMC,Medium,Policy Breach,2025-01-07 17:14:30,No
195,System_5,NIST,Medium,Policy Breach,2025-01-10 15:28:43,No
196,System_3,NIST,High,Data Leak,2025-01-09 18:29:49,Yes
197,System_4,GDPR,Low,Policy Breach,2025-03-01 22:40:08,No
198,System_5,CMMC,Low,Policy Breach,2025-05-16 01:34:02,No
199,System_3,CMMC,High,Login Failure,2025-05-22 21:46:09,No
200,System_4,GDPR,Low,Data Leak,2025-05-06 17:20:49,No
201,System_2,GDPR,Low,Unauthorized Device,2025-04-07 06:18:19,No
202,System_3,NIST,Low,Data Leak,2025-01-02 03:00:49,No
203,System_5,NIST,Medium,Access Violation,2025-04-24 22:54:58,No
204,System_4,GDPR,High,Unauthorized Device,2025-02-19 22:49:19,No
205,System_4,CMMC,High,Policy Breach,2025-04-13 06:29:26,No
206,System_4,CMMC,Medium,Policy Breach,2025-05-16 15:19:14,Yes
207,System_3,NIST,Low,Access Violation,2025-02-06 18:20:11,Yes
208,System_5,NIST,Medium,Login Failure,2025-01-13 18:37:37,No
209,System_4,NIST,Medium,Access Violation,2025-04-20 14:08:35,No
210,System_2,GDPR,High,Policy Breach,2025-02-14 03:22:30,Yes
211,System_1,CMMC,High,Data Leak,2025-04-15 18:35:43,No
212,System_4,NIST,Medium,Access Violation,2025-04-01 13:57:11,No
213,System_5,CMMC,Low,Login Failure,2025-04-27 10:17:43,Yes
214,System_5,CMMC,Low,Access Violation,2025-01-28 08:43:38,Yes
215,System_3,CMMC,Medium,Policy Breach,2025-01-17 23:24:14,No
216,System_3,CMMC,Low,Policy Breach,2025-04-21 13:50:56,Yes
217,System_5,CMMC,Low,Data Leak,2025-02-10 22:16:21,No
218,System_3,NIST,Medium,Policy Breach,2025-01-12 03:48:38,Yes
219,System_4,NIST,Medium,Unauthorized Device,2025-01-13 08:36:35,No
220,System_4,CMMC,High,Policy Breach,2025-03-14 10:45:40,Yes
221,System_1,NIST,Medium,Data Leak,2025-02-08 13:05:18,Yes
222,System_2,NIST,Low,Unauthorized Device,2025-03-15 05:04:49,No
223,System_1,NIST,Medium,Data Leak,2025-02-02 21:50:47,Yes
224,System_2,CMMC,Low,Login Failure,2025-01-29 13:32:18,Yes
225,System_3,GDPR,High,Policy Breach,2025-05-04 14:53:46,Yes
226,System_2,GDPR,Medium,Data Leak,2025-04-06 21:51:11,No
227,System_4,CMMC,Medium,Data Leak,2025-01-20 15:18:23,Yes
228,System_1,CMMC,High,Data Leak,2025-01-01 02:41:17,Yes
229,System_1,GDPR,Medium,Access Violation,2025-02-04 19:59:52,Yes
230,System_2,CMMC,Medium,Data Leak,2025-03-30 15:24:40,No
231,System_4,GDPR,Low,Login Failure,2025-02-13 15:09:31,No
232,System_5,NIST,High,Login Failure,2025-03-07 12:12:04,No
233,System_1,NIST,Medium,Unauthorized Device,2025-01-03 22:43:36,No
234,System_2,GDPR,Medium,Data Leak,2025-05-15 17:58:49,No
235,System_5,GDPR,Low,Unauthorized Device,2025-02-12 02:11:30,No
236,System_5,NIST,Low,Policy Breach,2025-03-10 02:50:47,Yes
237,System_1,GDPR,Medium,Unauthorized Device,2025-03-24 12:19:00,Yes
238,System_4,CMMC,Medium,Access Violation,2025-04-17 17:49:49,Yes
239,System_2,CMMC,High,Access Violation,2025-03-09 00:46:05,No
240,System_2,NIST,Low,Policy Breach,2025-05-11 01:47:45,No
241,System_5,GDPR,High,Login Failure,2025-04-15 03:24:01,No
242,System_2,GDPR,Medium,Policy Breach,2025-04-24 17:16:24,Yes
243,System_5,GDPR,Medium,Login Failure,2025-03-31 05:48:13,Yes
244,System_4,CMMC,High,Access Violation,2025-05-07 10:24:50,No
245,System_2,CMMC,High,Login Failure,2025-03-23 22:13:06,Yes
246,System_3,NIST,Medium,Login Failure,2025-05-03 12:12:51,Yes
247,System_5,GDPR,Medium,Login Failure,2025-04-22 05:07:43,Yes
248,System_3,NIST,High,Login Failure,2025-02-10 07:37:15,No
249,System_3,GDPR,Medium,Data Leak,2025-05-04 23:29:11,Yes
250,System_1,CMMC,High,Access Violation,2025-04-05 02:05:50,No
251,System_4,CMMC,Medium,Unauthorized Device,2025-04-01 12:07:54,Yes
252,System_4,NIST,Low,Login Failure,2025-03-12 20:42:42,No
253,System_2,CMMC,Low,Unauthorized Device,2025-01-12 06:53:49,No
254,System_5,CMMC,Low,Data Leak,2025-04-07 04:55:30,No
255,System_4,GDPR,Medium,Unauthorized Device,2025-03-23 19:31:08,Yes
256,System_3,GDPR,Low,Data Leak,2025-02-03 16:25:04,Yes
257,System_4,CMMC,Medium,Access Violation,2025-03-21 08:49:24,No
258,System_4,NIST,High,Data Leak,2025-03-23 18:28:00,Yes
259,System_4,NIST,Medium,Policy Breach,2025-02-14 01:43:58,No
260,System_1,NIST,High,Access Violation,2025-04-20 02:46:25,Yes
261,System_2,CMMC,Medium,Unauthorized Device,2025-01-22 20:27:04,Yes
262,System_1,GDPR,High,Access Violation,2025-03-30 05:39:08,No
263,System_1,GDPR,Medium,Data Leak,2025-05-23 16:12:54,Yes
264,System_1,GDPR,Medium,Data Leak,2025-04-19 00:58:49,No
265,System_4,GDPR,High,Unauthorized Device,2025-03-05 12:44:57,No
266,System_2,NIST,Low,Unauthorized Device,2025-02-05 21:49:11,Yes
267,System_1,CMMC,Low,Policy Breach,2025-01-16 15:15:09,No
268,System_4,NIST,Low,Login Failure,2025-01-22 17:01:21,Yes
269,System_2,CMMC,Medium,Policy Breach,2025-03-20 16:38:53,Yes
270,System_3,CMMC,Medium,Access Violation,2025-01-31 15:11:36,No
271,System_4,CMMC,Medium,Access Violation,2025-04-18 05:17:01,No
272,System_4,GDPR,Low,Login Failure,2025-01-14 07:28:04,Yes
273,System_3,NIST,High,Access Violation,2025-01-31 06:21:17,No
274,System_1,GDPR,High,Login Failure,2025-01-05 03:21:00,No
275,System_1,CMMC,Low,Access Violation,2025-05-12 13:25:53,Yes
276,System_3,GDPR,Medium,Data Leak,2025-01-30 15:14:26,No
277,System_1,GDPR,Medium,Data Leak,2025-04-06 23:57:04,No
278,System_1,GDPR,High,Data Leak,2025-03-19 09:20:39,No
279,System_5,GDPR,Medium,Policy Breach,2025-02-26 10:04:33,No
280,System_5,GDPR,Low,Unauthorized Device,2025-04-17 06:37:22,Yes
281,System_4,GDPR,High,Policy Breach,2025-05-17 09:18:11,No
282,System_1,NIST,Low,Data Leak,2025-03-20 02:53:06,No
283,System_1,NIST,High,Login Failure,2025-04-13 15:36:11,No
284,System_2,NIST,Low,Access Violation,2025-04-24 21:15:43,No
285,System_2,CMMC,Medium,Unauthorized Device,2025-03-19 11:02:38,Yes
286,System_1,CMMC,Low,Login Failure,2025-02-10 00:30:21,Yes
287,System_1,NIST,Medium,Data Leak,2025-05-09 17:57:40,No
288,System_2,NIST,Medium,Data Leak,2025-02-05 15:25:16,Yes
289,System_3,NIST,High,Policy Breach,2025-04-23 03:19:49,Yes
290,System_2,CMMC,Low,Access Violation,2025-03-15 18:44:02,Yes
291,System_1,CMMC,Medium,Unauthorized Device,2025-02-21 22:32:38,No
292,System_2,CMMC,Medium,Login Failure,2025-03-20 06:34:35,Yes
293,System_1,NIST,Medium,Access Violation,2025-03-24 21:20:42,No
294,System_4,GDPR,High,Access Violation,2025-04-19 21:48:11,Yes
295,System_1,NIST,High,Access Violation,2025-02-13 18:49:16,Yes
296,System_1,NIST,Low,Access Violation,2025-04-12 20:31:49,No
297,System_4,NIST,Medium,Login Failure,2025-05-17 12:47:01,No
298,System_3,NIST,Low,Unauthorized Device,2025-02-14 14:46:00,Yes
299,System_3,CMMC,High,Policy Breach,2025-04-10 19:37:20,Yes
300,System_2,GDPR,Medium,Unauthorized Device,2025-05-07 08:14:24,No
301,System_4,GDPR,Low,Access Violation,2025-05-12 06:07:37,No
302,System_5,GDPR,High,Policy Breach,2025-02-26 06:29:42,Yes
303,System_1,CMMC,Medium,Unauthorized Device,2025-03-10 22:19:02,No
304,System_3,CMMC,Medium,Access Violation,2025-05-14 18:38:45,No
305,System_5,NIST,Medium,Login Failure,2025-05-18 11:50:13,Yes
306,System_3,CMMC,High,Access Violation,2025-03-26 17:49:37,Yes
307,System_3,GDPR,High,Policy Breach,2025-02-03 23:49:42,No
308,System_4,GDPR,Medium,Access Violation,2025-02-05 23:59:18,No
309,System_3,NIST,High,Data Leak,2025-03-18 01:55:38,No
310,System_4,GDPR,Low,Policy Breach,2025-03-19 05:27:41,No
311,System_5,CMMC,Low,Data Leak,2025-03-07 10:10:10,Yes
312,System_4,NIST,Medium,Unauthorized Device,2025-03-01 09:18:55,Yes
313,System_5,NIST,High,Data Leak,2025-02-13 10:23:52,Yes
314,System_1,CMMC,Low,Unauthorized Device,2025-03-19 14:09:20,No
315,System_1,CMMC,Medium,Policy Breach,2025-05-24 15:34:40,No
316,System_1,NIST,Medium,Data Leak,2025-03-14 17:04:35,Yes
317,System_3,CMMC,Low,Policy Breach,2025-05-18 03:16:51,Yes
318,System_1,CMMC,High,Login Failure,2025-01-22 05:19:10,No
319,System_4,NIST,Medium,Access Violation,2025-01-25 20:04:33,Yes
320,System_2,NIST,Medium,Data Leak,2025-04-05 13:37:33,No
321,System_5,GDPR,Medium,Data Leak,2025-02-08 09:14:35,No
322,System_5,GDPR,Medium,Access Violation,2025-04-18 05:48:07,No
323,System_2,GDPR,High,Unauthorized Device,2025-04-22 16:13:06,Yes
324,System_3,GDPR,Medium,Data Leak,2025-03-25 01:20:53,Yes
325,System_1,NIST,Low,Login Failure,2025-03-17 12:28:08,No
326,System_5,CMMC,Medium,Unauthorized Device,2025-02-15 11:40:29,No
327,System_5,GDPR,High,Policy Breach,2025-01-20 11:38:09,No
328,System_3,GDPR,High,Access Violation,2025-05-05 23:10:00,Yes
329,System_1,GDPR,High,Policy Breach,2025-01-03 23:33:10,Yes
330,System_5,GDPR,High,Policy Breach,2025-01-13 10:30:38,Yes
331,System_2,GDPR,High,Policy Breach,2025-03-18 14:36:35,Yes
332,System_4,GDPR,Medium,Data Leak,2025-04-12 05:24:45,Yes
333,System_4,NIST,High,Login Failure,2025-04-27 19:50:04,No
334,System_3,NIST,High,Login Failure,2025-01-06 04:58:14,No
335,System_1,NIST,High,Policy Breach,2025-01-09 09:26:37,No
336,System_4,GDPR,Low,Policy Breach,2025-02-17 15:19:19,Yes
337,System_3,GDPR,Low,Unauthorized Device,2025-05-13 06:08:21,Yes
338,System_1,NIST,Medium,Data Leak,2025-01-27 00:49:33,Yes
339,System_3,NIST,High,Unauthorized Device,2025-01-24 08:13:31,Yes
340,System_3,NIST,Low,Policy Breach,2025-04-07 04:16:50,Yes
341,System_2,GDPR,Low,Login Failure,2025-02-13 05:24:23,Yes
342,System_5,NIST,Medium,Access Violation,2025-04-10 00:13:32,Yes
343,System_1,GDPR,Low,Data Leak,2025-04-21 20:58:17,Yes
344,System_2,CMMC,High,Unauthorized Device,2025-05-20 11:34:40,Yes
345,System_1,CMMC,Low,Unauthorized Device,2025-02-20 17:20:02,No
346,System_1,CMMC,High,Policy Breach,2025-03-20 19:22:32,Yes
347,System_3,NIST,Low,Unauthorized Device,2025-03-19 15:15:48,Yes
348,System_2,NIST,High,Access Violation,2025-04-08 04:18:01,Yes
349,System_2,NIST,Low,Data Leak,2025-05-02 12:26:58,Yes
350,System_1,NIST,Medium,Login Failure,2025-05-12 17:44:46,No
351,System_1,CMMC,Low,Data Leak,2025-05-01 16:08:54,Yes
352,System_3,GDPR,High,Policy Breach,2025-01-01 21:50:37,Yes
353,System_5,GDPR,Medium,Access Violation,2025-04-27 17:53:57,Yes
354,System_2,NIST,High,Policy Breach,2025-05-10 14:35:05,Yes
355,System_4,NIST,High,Login Failure,2025-01-27 08:37:32,Yes
356,System_5,NIST,Medium,Data Leak,2025-01-13 20:22:44,Yes
357,System_4,NIST,Low,Unauthorized Device,2025-04-11 09:57:10,Yes
358,System_4,NIST,Low,Policy Breach,2025-03-10 05:33:41,Yes
359,System_5,NIST,Low,Access Violation,2025-03-16 10:14:11,Yes
360,System_4,CMMC,High,Login Failure,2025-02-13 06:07:31,Yes
361,System_3,GDPR,High,Unauthorized Device,2025-05-04 16:30:22,No
362,System_2,GDPR,Medium,Login Failure,2025-04-30 06:59:41,No
363,System_2,GDPR,Medium,Access Violation,2025-01-05 23:44:24,Yes
364,System_5,NIST,Low,Policy Breach,2025-04-13 12:02:07,No
365,System_2,GDPR,Medium,Access Violation,2025-05-03 08:26:29,Yes
366,System_1,NIST,Medium,Data Leak,2025-03-11 20:54:54,No
367,System_4,GDPR,High,Unauthorized Device,2025-03-17 11:41:08,Yes
368,System_2,NIST,High,Data Leak,2025-05-22 11:02:58,Yes
369,System_3,CMMC,Medium,Login Failure,2025-03-13 23:00:18,No
370,System_5,CMMC,Medium,Login Failure,2025-01-10 18:34:42,Yes
371,System_1,GDPR,Medium,Unauthorized Device,2025-05-11 03:54:38,No
372,System_2,GDPR,Low,Policy Breach,2025-02-16 08:56:08,No
373,System_5,CMMC,Medium,Data Leak,2025-04-28 11:21:52,Yes
374,System_1,GDPR,Medium,Access Violation,2025-04-20 18:14:18,No
375,System_3,GDPR,Medium,Access Violation,2025-02-15 05:33:26,Yes
376,System_4,CMMC,Medium,Data Leak,2025-01-21 08:19:25,Yes
377,System_1,CMMC,Low,Policy Breach,2025-02-13 08:31:08,No
378,System_3,GDPR,Low,Policy Breach,2025-04-08 18:00:13,Yes
379,System_2,NIST,High,Unauthorized Device,2025-02-07 14:57:35,No
380,System_2,CMMC,Medium,Login Failure,2025-04-04 01:51:07,No
381,System_5,NIST,Low,Access Violation,2025-04-24 00:57:38,Yes
